["emeril","1. Emery. [Obs.] Drayton. 2. A glazier's diamond. Crabb."]
["heeltap","1. One of the segments of leather in the heel of a shoe. 2. A small portion of liquor left in a glass after drinking. \"Bumpers around and no heeltaps.\" Sheridan.\n\nTo add a piece of leather to the heel of (a shoe, boot, etc.)"]
["pincoffin","A commercial preparation of garancin, yielding fine violet tints."]
["pronominal","Belonging to, or partaking of the nature of, a pronoun."]
["cirrostomi","The lowest group of vertebrates; -- so called from the cirri around the mouth; the Leptocardia. See Amphioxus."]
["mephitism","Same as Mephitis, 1."]
["percarbureted","Combined with a relatively large amount of carbon."]
["cope","1. A covering for the head. [Obs.] Johnson. 2. Anything regarded as extended over the head, as the arch or concave of the sky, the roof of a house, the arch over a door. \"The starry cope of heaven.\" Milton. 3. An ecclesiastical vestment or cloak, semicircular in form, reaching from the shoulders nearly to the feet, and open in front except at the top, whereit is united by a band or clasp. It is worn in processions and on some other occasions. Piers plowman. A hundred and sixty priests all in their copes. Bp. Burnet. 4. An ancient tribute due to the lord of the soil, out of the lead mines in derbyshire, England. 5. (Founding)  The top part of a flask or mold; the outer part of a loam mold. Knight. De Colange.\n\nTo form a cope or arch; to bend or arch; to bow. [Obs.] Some bending down and coping to ward the earth. Holland.\n\nTo pare the beak or talons of (a hawk). J. H. Walsh.\n\n1. To exchange or barter. [Obs.] Spenser. 2. To encounter; to meet; to have to do with. Horatio, thou art e'en as just a man As e'er my conversation coped withal. Shak. 3. To enter into or maintain a hostile contest; to struggle; to combat; especially, to strive or contend on equal terms or with success; to match; to equal; -- usually followed by with. Host coped with host, dire was the din of war. Philips. Their generals have not been able to cope with the troops of Athens. Addison.\n\n1. To bargain for; to buy. [Obs.] 2. To make return for; to requite; to repay. [Obs.] three thousand ducats due unto the Jew, We freely cope your courteous pains withal. Shak. 3. To match one's self against; to meet; to encounter. I love to cope him in these sullen fits. Shak. They say he yesterday coped Hector in the battle, and struck him down. Shak."]
["lubricity","1. Smoothness; freedom from friction; also, property, which diminishes friction; as, the lubricity of oil. Ray. 2. Slipperiness; instability; as, the lubricity of fortune. L'Estrange. 3. Lasciviousness; propensity to lewdness; lewdness; lechery; incontinency. Sir T. Herbert. As if wantonness and lubricity were essential to that poem. Dryden."]
["rye","1. (Bot.)  A grain yielded by a hardy cereal grass (Secale cereale), closely allied to wheat; also, the plant itself. Rye constitutes a large portion of the breadstuff used by man. 2. A disease in a hawk. Ainsworth. Rye grass, Italian rye grass, (Bot.) See under Grass. See also Ray grass, and Darnel. -- Wild rye (Bot.), any plant of the genus Elymus, tall grasses with much the appearance of rye."]
["deordination","Disorder; dissoluteness. [Obs.] Excess of rideordination. Jer. Taylor."]
["bold eagle","an Australian eagle (Aquila audax), which destroys lambs and even the kangaroo. -- To make bold, to take liberties or the liberty; to venture. Syn. -- Courageous; daring; brave; intrepid; fearless; dauntless; valiant; manful; audacious; stouthearted; high-spirited; adventurous; confident; strenuous; forward; impudent."]
["apode","One of certain animals that have no feet or footlike organs; esp. one of certain fabulous birds which were said to have no feet. Note: The bird of paradise formerly had the name Paradisea apoda, being supposed to have no feet, as these were wanting in the specimens first obtained from the East Indies."]
["violescent","Tending to a violet color; violascent."]
["homogonous","Having all the flowers of a plant alike in respect to the stamens and pistils."]
["catchpoll","A bailiff's assistant."]
["cacochymical","Having the fluids of the body vitiated, especially the blood. Wiseman."]
["calvessnout","Snapdragon."]
["interchangement","Mutual transfer; exchange. [Obs.] Shak."]
["shave","obs. p. p. of Shave. Chaucer. His beard was shave as nigh as ever he can. Chaucer.\n\n1. To cut or pare off from the surface of a body with a razor or other edged instrument; to cut off closely, as with a razor; as, to shave the beard. 2. To make bare or smooth by cutting off closely the surface, or surface covering, of; especially, to remove the hair from with a razor or other sharp instrument; to take off the beard or hair of; as, to shave the face or the crown of the head; he shaved himself. I'll shave your crown for this. Shak. The laborer with the bending scythe is seen Shaving the surface of the waving green. Gay. 3. To cut off thin slices from; to cut in thin slices. Plants bruised or shaven in leaf or root. Bacon. 4. To skim along or near the surface of; to pass close to, or touch lightly, in passing. Now shaves with level wing the deep. Milton. 5. To strip; to plunder; to fleece. [Colloq.] To shave a note, to buy it at a discount greater than the legal rate of interest, or to deduct in discounting it more than the legal rate allows. [Cant, U.S.]\n\nTo use a razor for removing the beard; to cut closely; hence, to be hard and severe in a bargain; to practice extortion; to cheat.\n\n1. A thin slice; a shaving. Wright. 2. A cutting of the beard; the operation of shaving. 3. (a) An exorbitant discount on a note. [Cant, U.S.] (b) A premium paid for an extension of the time of delivery or payment, or for the right to vary a stock contract in any particular. [Cant, U.S.] N. Biddle. 4. A hand tool consisting of a sharp blade with a handle at each end; a drawing knife; a spokeshave. 5. The act of passing very near to, so as almost to graze; as, the bullet missed by a close shave. [Colloq.] Shave grass (Bot.), the scouring rush. See the Note under Equisetum. -- Shave hook, a tool for scraping metals, consisting of a sharp- edged triangular steel plate attached to a shank and handle."]
["hatchel","An instrument with long iron teeth set in a board, for cleansing flax or hemp from the tow, hards, or coarse part; a kind of large comb; -- called also hackle and heckle.\n\n1. To draw through the teeth of a hatchel, as flax or hemp, so as to separate the coarse and refuse parts from the fine, fibrous parts. 2. To tease; to worry; to torment. [Colloq.]"]
["uncunningness","Ignorance. [Obs.]"]
["coalpit","1. A pit where coal is dug. 2. A place where charcoal is made. [U. S.]"]
["reenactment","The enacting or passing of a law a second time; the renewal of a law."]
["acarine","Of or caused by acari or mites; as, acarine diseases."]
["thermoanesthesia","Loss of power to distinguish heat or cold by touch."]
["lice","pl. of Louse."]
["supereminency","The quality or state of being supereminent; distinguished eminence; as, the supereminence of Cicero as an orator, or Lord Chatham as a statesman. Ayliffe. He was not forever beset with the consciousness of his own supereminence. Prof. Wilson."]
["benne","The name of two plants (Sesamum orientale and S. indicum), originally Asiatic; -- also called oil plant. From their seeds an oil is expressed, called benne oil, used mostly for making soap. In the southern United States the seeds are used in candy."]
["inflamer","The person or thing that inflames. Addison."]
["cosmotheism","Same as Pantheism. [R.]"]
["osse","A prophetic or ominous utterance. [R. & Obs.] Holland."]
["paroxytone","A word having an acute accent on the penultimate syllable."]
["hallidome","Same as Halidom."]
["ataraxy","Perfect peace of mind, or calmness."]
["timeous","Timely; seasonable. [R. or Scot.] -- Time\"ous*ly, adv. [R. or Scot.]"]
["amenance","Behavior; bearing. [Obs.] Spenser."]
["haemoscope","An instrument devised by Hermann, for regulating and measuring the thickness of a layer of blood for spectroscopic examination."]
["cotyle","A cuplike cavity or organ. Same as Acetabulum."]
["histography","A description of, or treatise on, organic tissues."]
["smerk","See Smirk.\n\nSmart; jaunty; spruce. See Smirk, a. [Obs.] So smerk, so smooth, his pricked ears. Spenser."]
["stifle","The joint next above the hock, and near the flank, in the hind leg of the horse and allied animals; the joint corresponding to the knee in man; -- called also stifle joint. See Illust. under Horse. Stifle bone, a small bone at the stifle joint; the patella, or kneepan.\n\n1. To stop the breath of by crowding something into the windpipe, or introducing an irrespirable substance into the lungs; to choke; to suffocate; to cause the death of by such means; as, to stifle one with smoke or dust. Stifled with kisses, a sweet death he dies. Dryden. I took my leave, being half stifled with the closeness of the room. Swift. 2. To stop; to extinguish; to deaden; to quench; as, to stifle the breath; to stifle a fire or flame. Bodies . . . stifle in themselves the rays which they do not reflect or transmit. Sir I. Newton. 3. To suppress the manifestation or report of; to smother; to conceal from public knowledge; as, to stifle a story; to stifle passion. I desire only to have things fairly represented as they really are; no evidence smothered or stifled. Waterland.\n\nTo die by reason of obstruction of the breath, or because some noxious substance prevents respiration. You shall stifle in your own report. Shak."]
["apomecometry","The art of measuring the distance of objects afar off. [Obs. or R.]"]
["nymphomany","Same as Nymphomania."]
["poket","A pocket. [Obs.] Chaucer."]
["gallin","A substance obtained by the reduction of galleïn."]
["pneumony","See Pneumonia."]
["capitulator","One who capitulates."]
["commercially","In a commercial manner."]
["galling","Fitted to gall or chafe; vexing; harassing; irritating. -- Gall\"ing*ly, adv."]
["eaglet","A young eagle, or a diminutive eagle."]
["inexpleably","Insatiably. [Obs.] Sandys."]
["gelatinize","1. To convert into gelatin or jelly. Same as Gelatinate, v. t. 2. (Photog.)  To coat, or otherwise treat, with gelatin.\n\nSame as Gelatinate, v. i."]
["sophomoric","Of or pertaining to a sophomore; resembling a sophomore; hence, pretentious; inflated in style or manner; as, sophomoric affectation. [U. S.]"]
["tu-whit","Words imitative of the notes of the owl. Thy tu-whits are lulled, I wot, Thy tu-whoos of yesternight. Tennyson."]
["lubricator","1. One who, or that which, lubricates. \" Lubricator of the fibers.\" Burke. 2. A contrivance, as an oil cup, for supplying a lubricant to machinery."]
["teleostei","A subclass of fishes including all the ordinary bony fishes as distinguished from the ganoids."]
["faithful","1. Full of faith, or having faith; disposed to believe, especially in the declarations and promises of God. You are not faithful, sir. B. Jonson. 2. Firm in adherence to promises, oaths, contracts, treaties, or other engagements. The faithful God, which keepeth covenant and mercy with them that love him. Deut. vii. 9. 3. True and constant in affection or allegiance to a person to whom one is bound by a vow, be ties of love, gratitude, or honor, as to a husband, a prince, a friend; firm in the observance of duty; loyal; of true fidelity; as, a faithful husband or servant. So spake the seraph Abdiel, faithful found, Among the faithless, faithful only he. Milton. 4. Worthy of confidence and belief; conformable to truth ot fact; exact; accurate; as, a faithful narrative or representation. It is a faithful saying. 2 Tim. ii. 11. The Faithful, the adherents of any system of religious belief; esp. used as an epithet of the followers of Mohammed. Syn. -- Trusty; honest; upright; sincere; veracious; trustworthy. -- Faith\"ful*ly, adv. -Faith\"ful*ness, n."]
["cockatrice","1. A fabulous serpent whose breath and look were said to be fatal. See Basilisk. That bare vowel, I, shall poison more Than the death-darting eye of cockatrice. Shak. 2. (Her.) A representation of this serpent. It has the head, wings, and legs of a bird, and tail of a serpent. 3. (Script.) A venomous serpent which which cannot now be identified. The weaned child shall put his hand on the cockatrice's [Rev. Ver. basilisk's] den. Is. xi. 8. 4. Any venomous or deadly thing. This little cockatrice of a king. Bacon."]
["latitant","Lying hid; concealed; latent. [R.]"]
["dimity","A cotton fabric employed for hangings and furniture coverings, and formerly used for women's under-garments. It is of many patterns, both plain and twilled, and occasionally is printed in colors."]
["chartulary","See Cartulary."]
["shoad","A train of vein material mixed with rubbish; fragments of ore which have become separated by the action of water or the weather, and serve to direct in the discovery of mines. [Written also shode.]"]
["ethel","Noble. [Obs.]"]
["salicylite","A compound of salicylal; -- named after the analogy of a salt."]
["sagus","A genus of palms from which sago is obtained."]
["marcasitical","Containing, or having the nature of, marcasite."]
["superacidulated","Acidulated to excess. [R.]"]
["temporary","Lasting for a time only; existing or continuing for a limited time; not permanent; as, the patient has obtained temporary relief. Temporary government of the city. Motley. Temporary star. (Astron.) See under Star."]
["pulmobranchiata","Same as Pulmonibranchiata, -ate."]
["above-cited","Cited before, in the preceding part of a book or writing."]
["climatologist","One versed in, or who studies, climatology."]
["lurcation","Gluttony; gormandizing. [Obs.]"]
["ostreaceous","Of or pertaining to an oyster, or to a shell; shelly. The crustaceous or ostreaceous body. Cudworth."]
["persico","= Persicot."]
["exauthorize","To deprive of uthority. [Obs.] Selden.\n\nTo deprive of authority. [Obs.] Selden."]
["survivorship","1. The state of being a survivor. 1. (Law)  The right of a joint tenant, or other person who has a joint interest in an estate, to take the whole estate upon the death of other. Blackstone. Chance of survivorship, the chance that a person of a given age has of surviving another of a giving age; thus, by the Carlisle tables of mortality the chances of survivorship for two persons, aged 25 and 65, are 89 and 11 respectively, or about 8 to 1 that the elder die first."]
["pickaxe","A pick with a point at one end, a transverse edge or blade at the other, and a handle inserted at the middle; a hammer with a flattened end for driving wedges and a pointed end for piercing as it strikes. Shak."]
["mallemock","See Mollemoke."]
["fiasco","A complete or ridiculous failure, esp. of a musical performance, or of any pretentious undertaking."]
["resultive","Resultant. [Obs.] Fuller."]
["covetiveness","Acquisitiveness."]
["cubless","Having no cubs. Byron."]
["easternmost","Most eastern."]
["outact","To do or beyond; to exceed in acting. [R.] He has made me heir to treasures Would make me outact a real window's whining. Otway."]
["stellionate","Any fraud not distinguished by a more special name; -- chiefly applied to sales of the same property to two different persons, or selling that for one's own which belongs to another, etc. Erskine."]
["literate","Instructed in learning, science, or literature; learned; lettered. The literate now chose their emperor, as the military chose theirs. Landor.\n\n1. One educated, but not having taken a university degree; especially, such a person who is prepared to take holy orders. [Eng.] 2. A literary man."]
["justicehood","Justiceship. B. Jonson."]
["miasmatical","Containing, or relating to, miasma; caused by miasma; as, miasmatic diseases."]
["intransigentes","The extreme radicals; the party of the irreconcilables."]
["allochroite","See Garnet."]
["wah","The panda."]
["ponty","See Pontee."]
["towall","A towel. [Obs.] Chaucer."]
["cowan","One who works as a mason without having served a regular apprenticeship. [Scot.] Note: Among Freemasons, it is a cant term for pretender, interloper."]
["patly","Fitly; seasonably. Barrow."]
["alliteral","Pertaining to, or characterized by alliteration."]
["observational","Of a pertaining to observation; consisting of, or containing, observations. Chalmers."]
["lientery","A diarrhea, in which the food is discharged imperfectly digested, or with but little change. Dunglison."]
["wavure","See Waivure. [R.]"]
["espy","1. To catch sight of; to perceive with the eyes; to discover, as a distant object partly concealed, or not obvious to notice; to see at a glance; to discern unexpectedly; to spy; as, to espy land; to espy a man in a crowd. As one of them opened his sack to give his ass provender in the inn, . . . he espied his money. Gen. xlii. 27. A goodly vessel did I then espy Come like a giant from a haven broad. Wordsworth. 2. To inspect narrowly; to examine and keep watch upon; to watch; to observe. He sends angels to espy us in all our ways. Jer. Taylor. Syn. -- To discern; discover; detect; descry; spy.\n\nTo look or search narrowly; to look about; to watch; to take notice; to spy. Stand by the way, and espy. Jer. xlviii. 19.\n\nA spy; a scout. [Obs.] Huloet."]
["loutish","Clownish; rude; awkward. \"Loutish clown.\" Sir P. Sidney. -- Lout\"ish*ly, adv. -- Lout\"*ish*ness, n."]
["cordierite","See Iolite."]
["delphic","1. Of or relating to Delphi, or to the famous oracle of that place. 2. Ambiguous; mysterious. \"If he is silent or delphic.\" New York Times."]
["ecclesiasticus","A book of the Apocrypha."]
["misinformant","A misinformer."]
["gode","Good. [Obs.] Chaucer."]
["syringeal","Of or pertaining to the syrinx; as, the syringeal muscle."]
["shagreened","1. Made or covered with the leather called shagreen. \"A shagreen case of lancets.\" T. Hook. 2. (Zoöl.)  Covered with rough scales or points like those on shagreen."]
["garner","A granary; a building or place where grain is stored for preservation.\n\nTo gather for preservation; to store, as in a granary; to treasure. Shak."]
["sevenscore","Seven times twenty, that is, a hundred and forty. The old Countess of Desmond . . . lived sevenscore years. Bacon."]
["inapposite","Not apposite; not fit or suitable; not pertinent. -- In*ap\"po*site*ly, adv."]
["pincers","See Pinchers."]
["conglutinant","Cementing together; uniting closely; causing to adhere; promoting healing, as of a wound or a broken bone, by adhesion of the parts."]
["merchantly","Merchantlike; suitable to the character or business of a merchant. [Obs.] Gauden."]
["rougecroix","One of the four pursuivants of the English college of arms."]
["spurious","1. Not proceeding from the true source, or from the source pretended; not genuine; false; adulterate. 2. Not legitimate; bastard; as, spurious issue. \"Her spurious firstborn.\" Milton. Spurious primary, or Spurious quill (Zoöl.), the first, or outer, primary quill when rudimentary or much reduced in size, as in certain singing birds. -- Spurious wing (Zoöl.), the bastard wing, or alula. Syn. -- Counterfeit; false; adulterate; supposititious; fictitious; bastard. -- Spu\"ri*ous*ly, adv. -- Spu\"ri*ous*ness, n."]
["meritable","Deserving of reward. [R.]"]
["ooetype","The part of the oviduct of certain trematode worms in which the ova are completed and furnished with a shell."]
["directive","1. Having power to direct; tending to direct, guide, or govern; showing the way. Hooker. The precepts directive of our practice in relation to God. Barrow. 2. Able to be directed; manageable. [Obs.] Swords and bows Directive by the limbs. Shak."]
["illusionable","Liable to illusion."]
["assort","1. To separate and distribute into classes, as things of a like kind, nature, or quality, or which are suited to a like purpose; to classify; as, to assort goods. Note: [Rarely applied to persons.] They appear . . . no ways assorted to those with whom they must associate. Burke. 2. To furnish with, or make up of, various sorts or a variety of goods; as, to assort a cargo.\n\nTo agree; to be in accordance; to be adapted; to suit; to fall into a class or place. Mitford."]
["nustle","To fondle; to cherish. [Obs.]"]
["vermiculose","Containing, or full of, worms; resembling worms."]
["divert","1. To turn aside; to turn off from any course or intended application; to deflect; as, to divert a river from its channel; to divert commerce from its usual course. That crude apple that diverted Eve. Milton. 2. To turn away from any occupation, business, or study; to cause to have lively and agreeable sensations; to amuse; to entertain; as, children are diverted with sports; men are diverted with works of wit and humor. We are amused by a tale, diverted by a comedy. C. J. Smith. Syn. -- To please; gratify; amuse; entertain; exhilarate; delight; recreate. See Amuse.\n\nTo turn aside; to digress. [Obs.] I diverted to see one of the prince's palaces. Evelyn."]
["rifter","A rafter. [Obs.] Holland."]
["phonologer","A phonologist."]
["disliken","To make unlike; to disguise. [Obs.] Shak."]
["irritableness","Irritability."]
["hiatus","1. An opening; an aperture; a gap; a chasm; esp., a defect in a manuscript, where some part is lost or effaced; a space where something is wanting; a break. 2. (Gram.)  The concurrence of two vowels in two successive words or syllables. Pope."]
["inundant","Overflowing. [R.] Shenstone."]
["nasturtion","Same as Nasturtium."]
["insectivora","1. An order of mammals which feed principally upon insects. Note: They are mostly of small size, and their molar teeth have sharp cusps. Most of the species burrow in the earth, and many of those of cold climates hibernate in winter. The order includes the moles, shrews, hedgehogs, tanrecs, and allied animals, also the colugo. 2. A division of the Cheiroptera, including the common or insect- eating bats."]
["purdah","A curtain or screen; also, a cotton fabric in blue and white stripes, used for curtains. McElrath."]
["cacoon","One of the seeds or large beans of a tropical vine (Entada scandens) used for making purses, scent bottles, etc."]
["impermeable","Not permeable; not permitting passage, as of a fluid. through its substance; impervious; impenetrable; as, India rubber is impermeable to water and to air. -- Im*per\"me*a*ble*ness, n. -- Im*per\"me*a*bly, adv."]
["subtectacle","A space under a roof; a tabernacle; a dwelling. [Obs.] Davies (Holy Roode)."]
["bundes-versammlung","See Legislature, Switzerland."]
["occlusion","1. The act of occluding, or the state of being occluded. Constriction and occlusion of the orifice. Howell. 2. (Med.)  The transient approximation of the edges of a natural opening; imperforation. Dunglison. Occlusion of gases (Chem. & Physics), the phenomenon of absorbing gases, as exhibited by platinum, palladium, iron, or charcoal; thus, palladium absorbs, or occludes, nearly a thousand times its own volume of hydrogen, and in this case a chemical compound seems to be formed."]
["bugloss","A plant of the genus Anchusa, and especially the A. officinalis, sometimes called alkanet; oxtongue. Small wild bugloss, the Asperugo procumbens and the Lycopsis arvensis. -- Viper's bugloss, a species of Echium."]
["ostic","Pertaining to, or applied to, the language of the Tuscaroras, Iroquois, Wyandots, Winnebagoes, and a part of the Sioux Indians. Schoolcraft."]
["amaranthine","1. Of or pertaining to amaranth. \"Amaranthine bowers.\" Pope. 2. Unfading, as the poetic amaranth; undying. They only amaranthine flower on earth Is virtue. Cowper. 3. Of a purplish color. Buchanan."]
["idiotically","In a idiotic manner."]
["crampy","1. Affected with cramp. 2. Productive of, or abounding in, cramps. \"This crampy country.\" Howitt."]
["bay yarn","Woolen yarn. [Prov. Eng.] Wright."]
["kitling","A young kitten; a whelp. [Obs. or Scot.] B. Jonson."]
["giving","1. The act of bestowing as a gift; a conferring or imparting. 2. A gift; a benefaction. [R.] Pope. 3. The act of softening, breaking, or yielding. \"Upon the first giving of the weather.\" Addison. Giving in, a falling inwards; a collapse. -- Giving out, anything uttered or asserted; an outgiving. His givings out were of an infinite distance From his true meant design. Shak."]
["surgeonry","Surgery. [Obs.]"]
["equivalent","1. Equal in wortir or value, force, power, effect, import, and the like; alike in significance and value; of the same import or meaning. For now to serve and to minister, servile and ministerial, are terms equivalent. South. 2. (Geom.)  Equal in measure but not admitting of superposition; -- applied to magnitudes; as, a square may be equivalent to a triangle. 3. (Geol.)  Contemporaneous in origin; as, the equivalent strata of different countries.\n\n1. Something equivalent; that which is equal in value, worth, weight, or force; as, to offer an equivalent for damage done. He owned that, if the Test Act were repealed, the Protestants were entitled to some equivalent. . . . During some weeks the word equivalent, then lately imported from France, was in the mouths of all the coffeehouse. Macaulay. 2. (Chem.)  That comparative quantity by weight of an element which possesses the same chemical value as other elements, as determined by actual experiment and reference to the same standard. Specifically: (a) The comparative proportions by which one element replaces another in any particular compound; thus, as zinc replaces hydrogen in hydrochloric acid, their equivalents are 32.5 and 1. (b) The combining proportion by weight of a substance, or the number expressing this proportion, in any particular compound; as, the equivalents of hydrogen and oxygen in water are respectively 1 and 8, and in hydric dioxide 1 and 16. Note: This term was adopted by Wollaston to avoid using the conjectural expression atomic weight, with which, however, for a time it was practically synonymous. The attempt to limit the term to the meaning of a universally comparative combining weight failed, because of the possibility of several compounds of the substances by reason of the variation in combining power which most elements exhibit. The equivalent was really identical with, or a multiple of submultiple of, the atomic weight. 3. (Chem.)  A combining unit, whether an atom, a radical, or a molecule; as, in acid salt two or more equivalents of acid unite with one or more equivalents of base. Mechanical equivalent of heat (Physics), the number of units of work which the unit of heat can perform; the mechanical energy which must be expended to raise the temperature of a unit weight of water from 0º C. to 1º C., or from 32º F. to 33º F. The term was introduced by Dr. Mayer of Heilbronn. Its value was found by Joule to be 1390 foot pounds upon the Centigrade, or 772 foot pounds upon the Fahrenheit, thermometric scale, whence it is often called Joule's equivalent, and represented by the symbol J. This is equal to 424 kilogram meters (Centigrade scale). A more recent determination by Professor Rowland gives the value 426.9 kilogram meters, for the latitude of Baltimore.\n\nTo make the equivalent to; to equal; equivalence. [R.]"]
["egg-cup","A cup used for holding an egg, at table."]
["parclose","A screen separating a chapel from the body of the church. [Written also paraclose and perclose.] Hook."]
["elaboration","1. The act or process of producing or refining with labor; improvement by successive operations; refinement. 2. (Physiol.)  The natural process of formation or assimilation, performed by the living organs in animals and vegetables, by which a crude substance is changed into something of a higher order; as, the elaboration of food into chyme; the elaboration of chyle, or sap, or tissues."]
["gourd tree","A tree (the Crescentia Cujete, or calabash tree) of the West Indies and Central America."]
["august","Of a quality inspiring mingled admiration and reverence; having an aspect of solemn dignity or grandeur; sublime; majestic; having exalted birth, character, state, or authority. \"Forms august.\" Pope. \"August in visage.\" Dryden. \"To shed that august blood.\" Macaulay. So beautiful and so august a spectacle. Burke. To mingle with a body so august. Byron. Syn. -- Grand; magnificent; majestic; solemn; awful; noble; stately; dignified; imposing.\n\nThe eighth month of the year, containing thirty-one days. Note: The old Roman name was Sextilis, the sixth month from March, the month in which the primitive Romans, as well as Jews, began the year. The name was changed to August in honor of Augustus Cæsar, the first emperor of Rome, on account of his victories, and his entering on his first consulate in that month."]
["bragger","One who brags; a boaster."]
["dog bee","A male or drone bee. Halliwell."]
["shrewmouse","A shrew; especially, the erd shrew."]
["tinkershire","The common guillemot. [Prov. Eng.]"]
["non compos mentis","Not of sound mind; not having the regular use of reason; hence, also, as a noun, an idiot; a lunati NONCON. Non\"con. (, n.  See Noncontent."]
["witty","1. Possessed of wit; knowing; wise; skillful; judicious; clever; cunning. [Obs.] \"The deep-revolving witty Buckingham.\" Shak. 2. Especially, possessing wit or humor; good at repartee; droll; facetious; sometimes, sarcastic; as, a witty remark, poem, and the like. \"Honeycomb, who was so unmercifully witty upon the women.\" Addison. Syn. -- Acute; smart; sharp; arch; keen; facetious; amusing; humorous; satirical; ironical; taunting."]
["scutibranchiata","An order of gastropod Mollusca having a heart with two auricles and one ventricle. The shell may be either spiral or shieldlike. Note: It is now usually regarded as including only the Rhipidoglossa and the Docoglossa. When originally established, it included a heterogenous group of mollusks having shieldlike shells, such as Haliotis, Fissurella, Carinaria, etc."]
["unlucky","1. Not lucky; not successful; unfortunate; ill-fated; unhappy; as, an unlucky man; an unlucky adventure; an unlucky throw of dice; an unlucky game. Note: This word is properly applied to incidents in which failure results from chance or fortuity, as in games of hazard, rather than from lack or feebleness of effort. 2. Bringing bad luck; ill-omened; inauspicious. Haunt me not with that unlucky face. Dryden. 3. Mischievous; as, an unlucky wag. [Colloq.]"]
["dressmaker","A maker of gowns, or similar garments; a mantuamaker."]
["exogenous","1. (Bot.)  Pertaining to, or having the character of, an exogen; -- the opposite of endogenous. 2. (Biol.)  Growing by addition to the exterior. 3. (Anat.)  Growing from previously ossified parts; -- opposed to autogenous. Owen. Exogenous aneurism (Med.), an aneurism which is produced by causes acting from without, as from injury."]
["scatt","Tribute. [R.] \"Seizing scatt and treasure.\" Longfellow."]
["overpassionate","Passionate to excess. -- O\"ver*pas\"sion*ate*ly, adv."]
["self-possession","The possession of one's powers; calmness; self-command; presence of mind; composure."]
["turningness","The quality of turning; instability; tergiversation. [Obs.] Sir P. Sidney."]
["glissade","A sliding, as down a snow slope in the Alps. Tyndall."]
["astronomian","An astrologer. [Obs.]"]
["ingenerably","In an ingenerable manner."]
["fist","1. The hand with the fingers doubled into the palm; the closed hand, especially as clinched tightly for the purpose of striking a blow. Who grasp the earth and heaven with my fist. Herbert. 2. The talons of a bird of prey. [Obs.] More light than culver in the falcon's fist. Spenser. 3. (print.)  the index mark [], used to direct special attention to the passage which follows. Hand over fist (Naut.), rapidly; hand over hand.\n\n1. To strike with the fist. Dryden. 2. To gripe with the fist. [Obs.] Shak."]
["backshish","In Egypt and the Turkish empire, a gratuity; a \"tip\"."]
["ytterbium","A rare element of the boron group, sometimes associated with yttrium or other related elements, as in euxenite and gadolinite. Symbol Yb; provisional atomic weight 173.2. Cf. Yttrium. Note: Ytterbium is associated with other rare elements, and probably has not been prepared in a pure state."]
["disdeify","To divest or deprive of deity or of a deific rank or condition. Feltham."]
["kainozoic","See Cenozoic."]
["ex-",". A prefix from the latin preposition, ex, akin to Gr. 'ex or 'ek signifying out of, out, proceeding from. Hence, in composition, it signifies out of, as, in exhale, exclude; off, from, or out. as in exscind; beyond, as, in excess, exceed, excel; and sometimes has a privative sense of without, as in exalbuminuos, exsanguinous. In some words, it intensifies the meaning; in others, it has little affect on the signification. It becomes ef- before f, as in effuse. The form e- occurs instead of ex- before b, d, g, l, m, n, r, and v, as in ebullient, emanate, enormous, etc. In words from the French it often appears as es-, sometimes as s- or é-; as, escape, scape, élite. Ex-, prefixed to names implying office, station, condition, denotes that the person formerly held the office, or is out of the office or condition now; as, ex-president, ex-governor, ex-mayor, ex-convict. The Greek form 'ex becomes ex in English, as in exarch; 'ek becomes ec, as in eccentric."]
["foreign","1. Outside; extraneous; separated; alien; as, a foreign country; a foreign government. \"Foreign worlds.\" Milton. 2. Not native or belonging to a certain country; born in or belonging to another country, nation, sovereignty, or locality; as, a foreign language; foreign fruits. \"Domestic and foreign writers.\" Atterbury. Hail, foreign wonder! Whom certain these rough shades did never breed. Milton. 3. Remote; distant; strange; not belonging; not connected; not pertaining or pertient; not appropriate; not harmonious; not agreeable; not congenial; -- with to or from; as, foreign to the purpose; foreign to one's nature. This design is not foreign from some people's thoughts. Swift. 4. Held at a distance; excluded; exiled. [Obs.] Kept him a foreign man still; which so grieved him, That he ran mad and died. Shak. Foreign attachment (Law), a process by which the property of a foreign or absent debtor is attached for the satisfaction of a debt due from him to the plaintiff; an attachment of the goods, effects, or credits of a debtor in the hands of a third person; -- called in some States trustee, in others factorizing, and in others garnishee process. Kent. Tomlins. Cowell. -- Foreign bill, a bill drawn in one country, and payable in another, as distinguished from an inland bill, which is one drawn and payable in the same country. In this latter, as well as in several other points of view, the different States of the United States are foreign to each other. See Exchange, n., 4. Kent. Story. -- Foreign body (Med.), a substance occurring in any part of the body where it does not belong, and usually introduced from without. -- Foreign office, that department of the government of Great Britain which has charge British interests in foreign countries. Syn. -- Outlandish; alien; exotic; remote; distant; extraneous; extrinsic."]
["meroblastic","Consisting only in part of germinal matter; characterized by partial segmentation only; as, meroblastic ova, in which a portion of the yolk only undergoes fission; meroblastic segmentation; -- opposed to holoblastic."]
["plaintful","Containing a plaint; complaining; expressing sorrow with an audible voice. \"My plaintful tongue.\" Sir P. Sidney."]
